query,symptoms
"Here are a few different ways a patient might describe the symptom ""Motor nerves most severely affected"" to their doctor:

1. ""I've been having trouble moving my arms and legs lately. It's like they're really weak and don't want to listen to my brain.""
2. ""I feel like I've lost coordination. I drop things, trip over my own feet, and have a hard time doing everyday tasks like buttoning my shirt.""
3. ""My muscles feel really fatigued all the time. Even simple things like walking or picking up a book leave me exhausted.""
4. ""I've noticed my reflexes are really slow. If someone startles me, I don't react as quickly as I used to.""
5.","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Motor nerves most severely affected"" to their doctor:

1. ""I've been noticing that my muscles feel really weak, especially in my arms and legs. It's hard for me to lift things or walk long distances without getting tired.""
2. ""I've lost a lot of coordination and balance. I stumble and trip over my own feet, and my hands are really clumsy. It's like my body isn't listening to my brain.""
3. ""My muscles are really stiff and tight, especially in the mornings. It takes me a while to loosen up and get moving. And even then, I feel like I'm moving through quicksand.""
4. ""I've been having","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Motor nerves most severely affected"" to their doctor:

1. ""I've been experiencing a lot of weakness in my muscles, especially in my arms and legs. It's like they're not working as well as they should be.""
2. ""I've noticed that my movements have become really clumsy and uncoordinated. I keep dropping things and stumbling over my own feet.""
3. ""My muscles feel heavy and tired all the time. Even simple tasks like getting out of bed or walking up the stairs feel like a real struggle.""
4. ""I've been having trouble controlling my movements. My hands shake and my legs feel like jelly. It's like my body is not listening","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Legs affected first and most severely"" to their doctor:

1. ""My legs were the first thing I noticed was wrong. They felt heavy and weak, and it's like they've been hit the hardest.""
2. ""I started feeling really unsteady on my feet, like my legs were going to give out on me. That was the beginning of all this.""
3. ""The numbness and tingling started in my legs, and it's been spreading from there. They're definitely the worst affected.""
4. ""My legs feel like lead, like they're weighed down. It's hard to move them, and even when I do, it's like they're","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Legs affected first and most severely"" to their doctor:

1. ""Doc, my legs have been really bothering me lately. They're the worst part of my body, everything else seems fine, but my legs are just...off.""
2. ""I've been having some weird numbness and tingling in my legs. It started in my feet and has been working its way up. It's really uncomfortable.""
3. ""My legs feel like lead weights. They're so heavy and weak, it's like I'm dragging them around behind me.""
4. ""I've noticed that my legs are always the first to go. Whenever I get tired or stressed, my legs","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Legs affected first and most severely"" to their doctor:

1. ""My legs have been really bothering me lately. They're the worst part of my body right now. Whatever is going on, it started with my legs and has spread from there.""
2. ""I've been experiencing this weird sensation in my legs for weeks. It's like they're numb or tingly, and it's been getting worse. My arms and hands are affected too, but not as bad as my legs.""
3. ""My legs feel like lead. They're so heavy and weak, it's hard to walk or do anything. The rest of my body is okay, but my legs are","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe this symptom to their doctor:

1. ""I've been noticing these symptoms since I was a preteen, around 11 or 12 years old. They've been getting worse over time.""
2. ""I think this started when I was in middle school. I was around 13 or 14, and it's been an issue on and off ever since.""
3. ""I remember having some problems when I was in high school, around 15 or 16. It's been a gradual thing, but it's gotten more noticeable in the past few years.""
4. ""I've had this issue for as long as I can remember, but it really started to bother me when I","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Symptoms typically start between mid-childhood and early adulthood"" to their doctor:

1. ""I've been dealing with this issue since I was a preteen, around 11 or 12 years old.""
2. ""I started noticing problems in my late teens, maybe around 16 or 17.""
3. ""It's hard to pinpoint exactly, but I think I've had this issue on and off since middle school.""
4. ""I remember having some trouble with [symptom] when I was in high school, around 14 or 15.""
5. ""It started when I was in my early 20s, just after I graduated from college.""
6","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are a few different ways a patient might describe the symptom ""Symptoms typically start between mid-childhood and early adulthood"" to their doctor:

1. ""I think I've been dealing with this since I was around 10 or 11 years old, but it's gotten worse as I've gotten older.""
2. ""I'm not really sure when it started, but I remember having issues with it in middle school, and it's been on and off ever since.""
3. ""It's been a problem for me since my pre-teen years, but it's really become more noticeable and bothersome in my early 20s.""
4. ""I had some issues with it when I was a kid, but it kind of went","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
"Here are some diverse ways a patient might describe each of these symptoms to their doctor:

**Slapping Gait:**

* ""I feel like I'm stomping when I walk, like my feet are slapping the ground.""
* ""My legs feel like they're flopping around when I move, like a rag doll.""
* ""I've noticed I'm making a lot of noise when I walk, like my feet are slapping the floor.""
* ""It feels like I'm walking on stilts, my legs are so stiff and awkward.""
* ""I'm having trouble with my balance, I feel like I'm going to trip over my own feet.""

**Weakness in Hips, Legs, or Feet:**

* ""I","['- Motor nerves most severely affected', 'Legs affected first and most severely', 'Symptoms typically start between mid-childhood and early adulthood', 'Symptoms may include:\n  - Slapping gait\n  - Weakness in hips, legs, or feet\n  - Numbness in foot or leg\n  - Loss of lower muscle leading to skinny calves\n  - Foot drop (inability to point upward or hold it horizontal)\n  - Deformity with very high arch feet', 'Later, similar symptoms may appear in arms and hands, including a claw-like hand']"
